first_name,last_name,cif_code,dob,address,comments,payment_status,customer_status,hold_amount,product
Veronica,Thomas,GCY72PF0BU,1998-03-12,"78157 Jennifer Roads, Anthonyborough, NE 13458",Raise it at theory attorney leave recent many subject assume.,unpaid,found,2910.87,Personal Loan
Daniel,Spencer,FL2TWZQJMK,1995-03-19,"75785 Gregory Glens, Michelleview, ID 52519",Owner form understand data skin garden.,unpaid,not_found,2109.48,Credit Card
William,Harris,DL5PX0XEAF,1981-02-10,"79407 Perry Via Apt. 440, Carlahaven, WV 76679",Within across maintain good all play any.,paid,not_found,3838.9,Credit Card
Kevin,Miller,XUY2ES41BR,1970-03-06,"Unit 4911 Box 5936, DPO AA 47369",Me between admit agent skill security guy quality low.,paid,found,4090.0,Credit Card
Maria,Hines,PCVXOEX7EO,1953-05-25,"8727 Melissa Wells Suite 864, Jacquelinemouth, WV 59429",Budget member green president sure.,unpaid,not_found,3490.81,Personal Loan
Mary,Jensen,GJBGC465D5,1969-09-14,"4202 Jeanette Gardens, West Tylerport, VA 82186",Usually could think body positive determine.,paid,not_found,2738.55,Personal Loan
Mary,Long,RM3HNCXB90,1977-01-06,"23819 Thomas Hills, Port Michaelbury, NV 58413",Party cup life food suddenly five.,paid,found,3493.07,Personal Loan
Kayla,Jones,3D4HOYLTPT,1961-06-02,"413 Joshua Hill, Lake Toddfurt, VT 86500",Generation her himself see smile that.,unpaid,found,854.63,Credit Card
Tiffany,Stout,H24E0ICBCT,1961-07-22,"2890 Joseph Landing Apt. 263, Port Richardmouth, MT 82183",Follow interest cost exactly century develop enjoy few finish.,paid,not_found,3886.05,Personal Loan
Nicole,Brandt,IYUL5MN4PE,1952-11-02,"3836 Bryan Square, Levifurt, MN 20886",Form population many beyond board.,unpaid,not_found,3060.21,Home Loan
Andrew,Richard,BM6W70BYGH,1962-12-23,"35056 Whitaker Causeway, Valenciamouth, NJ 50680",Break far tonight carry western enjoy young.,paid,not_found,435.34,Personal Loan
Kristen,Peters,WJ5CJAY0YB,1990-01-26,"592 Baird Mountains Apt. 929, West Christinechester, AK 48840",Box fish fund employee edge back together professional speech television.,paid,not_found,4975.99,Credit Card
Dawn,Rosario,VERGMOHG5V,1998-06-16,"3288 Daniel Plains, East Lauraberg, GA 42149",Wind phone last truth quite matter may wife shake.,paid,found,881.23,Credit Card
Melissa,Lee,MZCA1QM36J,2008-03-13,"USNS Jones, FPO AA 80149",Might remain much office base door somebody.,paid,found,1711.67,Home Loan
Erin,Lopez,1KLWI9KR71,1999-05-10,"0787 Edward Ridge, Walkermouth, FL 93412",Water wrong information ball second finish amount character.,unpaid,not_found,4992.98,Home Loan
Robert,Rice,WUDJMN0OVC,1947-12-04,"4551 Stewart Station, Anthonymouth, OR 18399",Animal college financial technology score entire PM.,unpaid,found,1055.59,Credit Card
Jeremiah,Williams,4N7FLP1NFB,1983-04-24,"8613 Logan Harbors Suite 016, South Todd, OH 25529",Media realize learn certainly plant brother indeed answer.,unpaid,found,4325.63,Personal Loan
Christopher,Wilson,44OGXHP5QK,1948-10-28,"33111 Johnson Springs Apt. 084, Elizabethport, HI 58915",News whatever seven lose trade whatever seven over between treatment.,paid,found,362.57,Credit Card
David,Rodriguez,6WH0SG2NU9,1962-07-27,"06344 Stephanie Shoals, Luisville, DC 93264",Arm trouble already later response thing.,unpaid,found,4540.84,Credit Card
Stanley,Schmidt,AY44WI6MRA,1972-10-25,"PSC 5343, Box 9579, APO AP 87092",Fill recent figure save our must husband up.,unpaid,not_found,4379.1,Personal Loan
John,Contreras,LV86VO8NSX,1983-06-05,"42496 Johnson Fort, West Sethberg, KY 20224",First some wish food alone.,unpaid,not_found,4921.45,Credit Card
Allison,Wu,8K8ZZXNKT7,1982-02-06,"4910 Carlos Prairie, New Rebeccaland, AL 56110",Choose kind fight direction news letter.,unpaid,not_found,2976.65,Personal Loan
Martha,Kline,YECDDQ2LYF,1964-11-10,"53850 Kim Forges Apt. 363, North Brandonland, MD 41670",Participant then treat sport.,unpaid,found,4048.07,Personal Loan
Peggy,Wright,VS0R1Q7H9E,1955-11-17,"8505 Smith Plains Apt. 146, South Richard, NC 05399",Onto agree system already set sing institution.,paid,not_found,1001.58,Personal Loan
Dennis,Simpson,SU4VOEZ9GV,1962-02-02,"1511 Lewis Lane, South Robertbury, ME 78953",Mrs chance attack what for some.,unpaid,found,4415.35,Personal Loan
James,Williams,O7E7W5AJ4H,1951-07-22,"1215 Joseph Wall, Port Lisa, IN 74796",Read we would include long edge.,paid,not_found,3296.12,Credit Card
Ashley,Wong,1VFQBJTR2K,1991-01-30,"43916 Amanda Key Apt. 153, South Amandabury, IL 10792",Allow traditional general tough factor parent task approach see report.,paid,found,2431.86,Credit Card
Samantha,Dean,84I0E9N8XH,2000-08-19,"0608 David Brooks, Coreyberg, VA 06110",Health six side exactly everybody let report heart.,unpaid,not_found,1812.15,Home Loan
Alison,Graham,GRNRCTIXC6,1955-08-04,"PSC 6780, Box 6236, APO AA 13683",Future international those pretty animal.,unpaid,found,3798.55,Home Loan
Kevin,Haynes,95FUJ5M2FF,1978-08-04,"16223 Brandt Freeway Apt. 527, Lake Thomas, VA 84669",Century floor forward art also maybe huge body.,unpaid,found,3059.57,Personal Loan
Bradley,Harris,1NWHVVQ723,1997-01-12,"15329 Stone Tunnel Suite 722, Benjaminmouth, TN 99920",Pass nor girl decision wide.,paid,not_found,2980.07,Personal Loan
Sandra,Pittman,SC656KSURO,1963-07-20,"4604 Thomas Streets Apt. 818, Mccallstad, MD 06018",Personal laugh grow what commercial necessary who south boy.,paid,found,391.62,Home Loan
Derrick,Pratt,OU65O56FXO,1951-12-01,"573 Morgan Ramp Apt. 960, Millerport, NM 66954",Bad various born trial continue physical our different.,unpaid,not_found,3444.6,Credit Card
Robin,Turner,ZLO4K0XCE4,1969-09-18,"854 Timothy Square Suite 278, Rosetown, VT 31684",Hair play go against participant strong room garden friend shoulder.,paid,not_found,3784.61,Home Loan
Sean,Herrera,OTFBO5DU1P,1992-01-05,"7177 Allison Passage, Millermouth, TN 55359",Hope however his decide study case hit figure blue cause.,paid,found,3859.77,Personal Loan
Eric,Pugh,RGEYJ5M6I5,1997-01-07,"Unit 9316 Box 1795, DPO AP 78227",Total would treat detail design recently who trouble.,unpaid,found,4221.75,Credit Card
Allen,Mcmillan,0K2B1K32SN,1948-06-10,"09711 Eric Drive Suite 701, Lake Pamelatown, AL 67640",Which fine will health relationship member after woman.,paid,not_found,1565.98,Credit Card
Karen,Parker,MZS2HKZW1C,1948-11-11,"6761 Larry Burgs, Smithberg, WA 07508",Clear art coach fight trouble.,unpaid,not_found,2732.28,Credit Card
Olivia,Walker,KWIKJNJCZ2,1992-09-05,"73481 Benjamin Orchard Suite 565, West Troy, SD 40782",Represent their start scientist law decision might.,paid,not_found,3711.82,Home Loan
Alec,Jefferson,GJQ7V78JPD,1950-02-23,"57596 Smith Walks Apt. 687, Sarahberg, NV 01922",Agreement free technology theory practice risk prevent friend one.,paid,not_found,3099.89,Personal Loan
Jack,Page,9P0H02CTQP,1953-10-26,"8699 Eric Well Suite 029, Smithberg, DE 64876",Represent then thank growth take.,paid,found,4353.57,Home Loan
Erika,Davis,8DW2H46ZKF,2003-03-13,"471 Kathryn Bridge, North Kristin, NH 13554",Base movement town animal region full hard its happy suddenly young.,paid,found,1181.33,Personal Loan
