action_priority,action_reason,address,cif_code,comments,customer_status,dob,first_name,hold_amount,last_name,payment_status,product,recommended_action,risk_score
P2,Medium-high risk,"78157 Jennifer Roads, Anthonyborough, NE 13458",gAAAAABqAaZyR6RR0qBkwn3CChYFuN2J3W8CboouTexHG8Beh0CbBqaP4TVdxj7mOP6Y7RQnPb2kwlUShYiw_Az-Cx6fMapWNA==,No user details found.,found,1998-03-12,Veronica,2910.87,Thomas,unpaid,Personal Loan,CALL_CENTER,92.1
P2,Medium-high risk,"75785 Gregory Glens, Michelleview, ID 52519",gAAAAABqAaZyZunurxP1hYSDxz7qi__-pn7vzhovhzWf9GwhDe9RKt-BmxKpqdeXGPcuDHjMO7b3w9Z092VZmvDsPe5h96vCEQ==,No user details found.,not_found,1995-03-19,Daniel,2109.48,Spencer,unpaid,Credit Card,CALL_CENTER,89.7
P3,Low-medium risk,"79407 Perry Via Apt. 440, Carlahaven, WV 76679",gAAAAABqAaZy5k2xpyMYv085HH7Hf88iLHHGXVYiv43PY8GU7tj4uDtlHZbDwOglBXs7tlAaNim4M3jo6iZJH1gXVdCw4fVWkQ==,No user details found.,not_found,1981-02-10,William,3838.9,Harris,paid,Credit Card,SMS_REMINDER,9.0
P3,Low-medium risk,"Unit 4911 Box 5936, DPO AA 47369",gAAAAABqAaZyUgc_Wpi-hqnvWx4bAk6UiGh4rvu18fcZl0xetzDSpnkb3Qop2AKbFPG8ZCGWyUgz5r-HYfxDdLl9Y8THbjTnLA==,No user details found.,found,1970-03-06,Kevin,4090.0,Miller,paid,Credit Card,SMS_REMINDER,9.1
P2,Medium-high risk,"8727 Melissa Wells Suite 864, Jacquelinemouth, WV 59429",gAAAAABqAaZysZv1rOInNsRo_P_0oiaJe1ovtjDkDcZ9_0Q7dXb1YabONali0Gc9Nr_JXJbK5JqMC8J7QDnQQWk1A1QV6yTxAQ==,No user details found.,not_found,1953-05-25,Maria,3490.81,Hines,unpaid,Personal Loan,CALL_CENTER,92.3
P3,Low-medium risk,"4202 Jeanette Gardens, West Tylerport, VA 82186",gAAAAABqAaZy6BkFm0dOKFpRZZQF_0Yy_-QHN4EmCw1abhWb3EgFssFShuJkOcCVBevZ4EedhTcbykF_ZE4sS4DnAMSYCM266g==,No user details found.,not_found,1969-09-14,Mary,2738.55,Jensen,paid,Personal Loan,SMS_REMINDER,10.6
P3,Low-medium risk,"23819 Thomas Hills, Port Michaelbury, NV 58413",gAAAAABqAaZyDNo90c-nXGIVV7elImpgPxSH_WNfdchhFLWxAYxJN4He0cweZCIN0-r3fcCvakpbdhFHb-Vpk4Fukbrmk4NcuQ==,No user details found.,found,1977-01-06,Mary,3493.07,Long,paid,Personal Loan,SMS_REMINDER,11.0
P2,Medium-high risk,"413 Joshua Hill, Lake Toddfurt, VT 86500",gAAAAABqAaZyyN-9cC1pRL-iFPgrkp92DTXg702cbR2iiECtvzkHYPcQicvp4tlaM0ejohZdZsK84IZIChpmEQPVJS2BuL5Ssg==,No user details found.,found,1961-06-02,Kayla,854.63,Jones,unpaid,Credit Card,CALL_CENTER,89.1
P3,Low-medium risk,"2890 Joseph Landing Apt. 263, Port Richardmouth, MT 82183",gAAAAABqAaZyn-koWq8Ey22kmacFY3UaG3XNv-TS4ubMUwi1YfCn7ENWXS7Iy__nYFQMTNa5EepMU4D1hPOqS0pyFem2fYeJbw==,No user details found.,not_found,1961-07-22,Tiffany,3886.05,Stout,paid,Personal Loan,SMS_REMINDER,11.2
P2,Medium-high risk,"3836 Bryan Square, Levifurt, MN 20886",gAAAAABqAaZy1_wjIkj2jveZIUjYmRtNFXbU28k9w1N6JMp1TPdlbXCojlRG-zFBsCN48dIw9Hmkt_B3JqpfX0H3MFjBE4mmTg==,No user details found.,not_found,1952-11-02,Nicole,3060.21,Brandt,unpaid,Home Loan,CALL_CENTER,90.5
