address,cif_code,comments,dob,first_name,last_name
"680 Flinders Court, Newtown, NSW, Australia",gAAAAABp8jbaZvGUpdiEkvZDocQYFTw0cD4rX4cnFCyNSYGvmZUm17uTybTIcE7hiu8KYcogLIzEvX-u8tJ8QUHBKrP18SLJew==,user details found.,1975-09-01,Samuel,Smith
"488 Harbour Drive, South Yarra, VIC, Australia",gAAAAABp8jbaQeTFKLbbZE8DouiK3sqlJzsSP7ZS3LQJsoSw_ATWdIHEzYsdPoaR-zNoVYzgWSOTtiQxF_ptgmKAeRIT7cWl8A==,user details found.,1965-03-16,Ethan,White
"769 Grove Avenue, Footscray, VIC, Australia",gAAAAABp8jbanPkXQeDNyNNQoh6ctX1YO49maJOvPaRWEqH3rNymtxWUiJ9dIVKEmWFAiZt3R4bl1Me7YoA9qJfIy5Jyiy9ZZQ==,user details found.,1977-10-30,Grace,Campbell
"63 Bourke Street, Paddington, NSW, Australia",gAAAAABp8jbaovfjoLvuaQG4KiNsE9kqSjcbH_IGFLXO67F1eZZv0HQFaekPET4iRt7p36Dbg6oEtatmiqHSju6zR_Nmqq_EOQ==,user details found.,2003-07-06,Samuel,Taylor
"681 Pacific Terrace, Docklands, VIC, Australia",gAAAAABp8jbaOcqq25jw8T0jYo9IryOtEDwJISNDjEquTHRE_UFjN82EmWZ84lP3QvTm7eHCdmqpBzis1iEn11aSvkVonK9xKQ==,user details found.,1994-12-16,Grace,Scott
"346 Bay Parade, Richmond, VIC, Australia",gAAAAABp8jbaaiBWd2cA9BtusrzbtvlCMXpiTltGFTT7ao8-052YWzwkd7xvZagOYDHkCVcKkSOhuH19-F8zBkDGt6jp4PaEQA==,user details found.,1974-07-07,Samuel,Baker
"255 Oxford Drive, Moonee Ponds, VIC, Australia",gAAAAABp8jbaiZvRxqVleTQpTNODHYOMuaB35kiZ_YXcoJDS7yA5WWxyVpHAB2__7YMWRRRlHaAr8cjnDaNUVqvA2nP0ieM4Ow==,user details found.,2002-04-05,Noah,Walker
"538 Spencer Road, Sunshine, VIC, Australia",gAAAAABp8jbahkv5tMxO8XPf4rgBeUoIHRW0qWw_TxOV_wwXKVP2qJORbfrgd36PJXjgEQ0HuVqOQU9cPJYwFwKILf-hLQKgwg==,user details found.,1983-10-12,Oliver,Kelly
"197 Harbour Terrace, Hawthorn, VIC, Australia",gAAAAABp8jbauYyXncC0lOx8kMkDhaebTJbofxz7K9qFdi3YSXLZ-nYD72iBwdegKvKspSmW6dVoV-Bat8Rs9qCWPcse6tRfcg==,user details found.,1992-08-22,Samuel,Thompson
"45 Princes Avenue, Chatswood, NSW, Australia",gAAAAABp8jbam4-M7sYBRE6yeoe_5xmhp3zRe2BstGEH2kTpa9plVAnS_pekHls2Ru-9m5hWHZvzI5HDP5geD6OeywvrTonmtw==,user details found.,1979-04-07,Amelia,Murphy
